date,symbol,borrow_apy,utilization
2024-03-21,USDC,18.2501974625472,92.15190638799406
2024-03-28,USDC,13.4691980924592,91.04004606989989
2024-04-04,USDC,8.9084463671232,88.9369312446912
2024-04-11,USDC,11.063957741496,90.480687848768
2024-04-18,USDC,8.375906475072,82.54389529972073
2024-04-25,USDC,8.259058467935999,81.14115813338958
2024-05-02,USDC,8.660428227993599,85.95952260598139
2024-05-09,USDC,8.404522093252801,82.88742013362479
2024-05-16,USDC,8.431742183515201,83.21419194771042
2024-05-23,USDC,8.4828589458336,83.82783855194474
2024-05-30,USDC,8.986299678216,89.87154480128086
2024-06-06,USDC,12.38022730332,90.78679704859286
2024-06-13,USDC,8.9824540490784,89.82537880522287
2024-06-20,USDC,8.975542531017599,89.74240740844697
2024-06-27,USDC,8.8061713789536,87.70914024501236
2024-07-04,USDC,8.9075111575824,88.92570421853817
2024-07-11,USDC,7.6781774009951995,74.16779597827217
2024-07-18,USDC,7.610839945704,73.3594231665491
2024-07-25,USDC,7.5756857636592,72.93740416953834
2024-08-01,USDC,5.0387348514240005,70.77469710138253
2024-08-08,USDC,5.0041512628416,70.08302533334839
2024-08-15,USDC,5.0141433277584,70.282866624305
2024-08-22,USDC,5.1903513553248,73.8070271869704
2024-08-29,USDC,5.2171401970944,74.34280400058675
2024-09-05,USDC,4.0035310753536,75.86457819429039
2024-09-12,USDC,4.1257155476448,79.56713793370194
2024-09-19,USDC,4.2743807423712,84.07214390149852
2024-09-26,USDC,4.4659381547664,89.87691393215997
2024-10-03,USDC,4.43620861884,88.97601891815987
2024-10-10,USDC,10.4838606122112,91.5034651547771
2024-10-17,USDC,4.4675849173824,89.92681581108488
2024-10-24,USDC,4.451484266193599,89.43891729485858
2024-10-31,USDC,9.1446740473248,91.1686685134529
2024-11-07,USDC,10.057938275448,91.39698457040983
2024-11-14,USDC,14.783363912952,92.57834097957763
2024-11-21,USDC,4.4609926098672,89.7270489426767
2024-11-28,USDC,12.8803622366592,92.10259056081863
2024-12-05,USDC,13.0932722773008,92.15581807081526
2024-12-12,USDC,17.5162464384624,93.26156161104345
2024-12-19,USDC,11.975450507352,91.75748544457988
2024-12-26,USDC,11.3318174645856,91.56818160844183
2025-01-02,USDC,9.5086266808176,91.03194902511642
2025-01-09,USDC,6.6792381453792,90.19977592670418
2025-01-16,USDC,9.6551210729088,91.07503561088434
2025-01-23,USDC,10.1753768162592,91.22805200636886
2025-01-30,USDC,10.908428260175999,91.4436553717747
2025-02-06,USDC,5.8846371239376,87.69274257994097
2025-02-13,USDC,5.9748417081072,89.49683427261313
2025-02-20,USDC,5.9397778861632,88.79555781268544
2025-02-27,USDC,5.5513620647568,81.0272414046754
2025-03-06,USDC,5.133696858792,72.67393728206345
2025-03-13,USDC,5.1947656826112,73.89531373882787
2025-03-20,USDC,5.2110117084528,74.22023426383176
2025-03-27,USDC,5.4999308506752,79.99861709253739
2025-04-03,USDC,4.6391382092736,75.3513733196554
2025-04-10,USDC,4.614424767432,74.7581558412911
2025-04-17,USDC,4.5407206951632,72.9889749925226
2025-04-24,USDC,4.7598234695856,78.24828305527502
2025-05-01,USDC,4.7681922914351995,78.44916696773468
2025-05-08,USDC,4.8737215046735995,80.9822733793054
2025-05-15,USDC,3.9547991599632,88.37206304142235
2025-05-22,USDC,5.6798094794256,90.46660819076088
2025-05-29,USDC,3.9474075599136,88.10596750486303
2025-06-05,USDC,3.9518342745407997,88.2653279974802
2025-06-12,USDC,3.9976697502431997,89.9153918737033
2025-06-19,USDC,3.916274082264,86.9851713375783
2025-06-26,USDC,3.9691046464272004,88.8870563564954
2025-07-03,USDC,5.3284740053328,90.36901500380226
2025-07-10,USDC,6.1078801714991995,90.58551671716886
2025-07-17,USDC,9.228248310484801,91.45228564437242
2025-07-24,USDC,8.595770705136,91.27659742096277
2025-07-31,USDC,10.7404679152224,91.87234664573435
2025-08-07,USDC,3.9992283382032,89.97150057906924
2025-08-14,USDC,4.0533623262431995,90.01481731498266
2025-08-21,USDC,7.377631392844799,90.93822538972442
2025-08-28,USDC,6.8923675125936,90.80342986737529
2025-09-04,USDC,8.7935959038384,91.33154886475096
2025-09-11,USDC,4.0193390409264,90.00536640313727
2025-09-18,USDC,5.3767085380848,90.38241348491411
2025-09-25,USDC,3.9685316246927997,88.86642780725903
2025-10-02,USDC,5.930838038808,90.53633834676641
2025-10-09,USDC,3.9962966475744004,89.8659606235131
2025-10-16,USDC,3.9401754563376,87.84561385895938
2025-10-23,USDC,6.9044052011472,90.80677366922977
2025-10-30,USDC,3.9947509326096005,89.81031530676242
2025-11-06,USDC,3.8688750359136,85.27881922628806
2025-11-13,USDC,6.916776982084801,90.81021027484798
2025-11-20,USDC,3.9984656747328,89.9440449033708
2025-11-27,USDC,3.9230438144688,87.22887975990194
2025-12-04,USDC,3.926962200312,87.36994051947737
2025-12-11,USDC,3.9177646754544,87.03883217972518
2025-12-18,USDC,3.9930924449088003,89.75061027438139
2025-12-25,USDC,4.7443690414944,90.20676362532872
2026-01-01,USDC,5.4762384372912,90.4100606794878
2026-01-08,USDC,3.9928603367952,89.74225439693743
2026-01-15,USDC,3.9962710655711997,89.86503969441677
2026-01-22,USDC,3.9935000130192,89.76528258232456
2026-01-29,USDC,3.9832852314096003,89.3975533440011
2026-02-05,USDC,3.6063545972976,75.82815913896425
2026-02-12,USDC,3.5745225278688,74.68221376950653
2026-02-19,USDC,3.3901867743264003,68.04617972589246
2026-02-26,USDC,3.4848664651152004,71.45462129294764
2026-03-05,USDC,3.4382933718335997,69.77800338729146
2026-03-12,USDC,3.3216834078864,65.58007828376465
2024-07-06,USDT,1.4999999976144,0.0
2024-07-11,USDT,5.964315398121601,73.18549840370892
2024-07-18,USDT,6.7902113268432,86.72477590968246
2024-07-25,USDT,6.350906540260801,79.52305809936311
2024-08-01,USDT,5.6603498437296,68.20245651900312
2024-08-08,USDT,4.6128506763744,62.25701363705093
2024-08-15,USDT,4.3604523949824,57.209047995010685
2024-08-22,USDT,4.8979905222816,67.95981054565435
2024-08-29,USDT,4.9265956925856,68.53191394914505
2024-09-05,USDT,4.1178486716928,79.32874778783616
2024-09-12,USDT,4.2243759993312,82.55684859288097
2024-09-19,USDT,11.3620021942896,91.72300055015108
2024-09-26,USDT,4.197725950651201,81.74927140511575
2024-10-03,USDT,40.8088296183888,99.08470740662243
2024-10-10,USDT,19.3404571910784,93.71761429965825
