date,symbol,supply_apy,borrow_apy,utilization
2025-03-21,USDC,3.0356016217742168,4.881619227576159,67.484317
2025-03-28,USDC,3.3565824899973054,5.133223636031981,71.20253100000001
2025-04-04,USDC,2.73321912443512,4.4503861491248395,66.500532
2025-04-11,USDC,3.195528446860437,4.812068649157976,72.33384600000001
2025-04-18,USDC,2.5871148642410895,4.329804885008563,64.461094
2025-04-25,USDC,2.29119353056497,4.074659826784237,60.209526999999994
2025-05-02,USDC,2.9260443356064663,4.604695567340638,68.980278
2025-05-09,USDC,3.2536590542096464,4.648921492464399,76.682003
2025-05-16,USDC,3.8124818712525057,5.0323412630467566,83.60697
2025-05-23,USDC,3.9212802027880738,5.103641136316036,84.837688
2025-05-30,USDC,3.753742889263626,4.993424091892617,82.876159
2025-06-06,USDC,4.431945409657594,5.425794956461339,90.69252399999999
2025-06-13,USDC,4.303164171479607,5.346383822700637,89.24291
2025-06-20,USDC,3.4445769192498523,4.783371592014117,79.187756
2025-06-27,USDC,3.8948025051475605,5.086381098494319,84.585047
2025-07-04,USDC,3.981611634184163,5.142752508838563,85.586102
2025-07-11,USDC,3.547430313599208,4.854260881065624,80.48591499999999
2025-07-18,USDC,3.927844321363707,5.1079108588924855,85.05521900000001
2025-07-25,USDC,3.7955323137690047,5.021142224033577,83.544592
2025-08-01,USDC,4.251122097777611,5.313956143883073,88.687808
2025-08-08,USDC,3.8292251788742093,5.043379275448931,83.921755
2025-08-15,USDC,4.341830217337689,5.838186017705517,82.202855
2025-08-22,USDC,4.734368105408872,6.096386898327073,86.03517000000001
2025-08-29,USDC,4.001420511195746,5.604651421381961,78.80265899999999
2025-09-05,USDC,4.310414768172644,5.817026483550925,81.900319
2025-09-12,USDC,4.775264129540758,6.122660931482008,86.38299
2025-09-19,USDC,5.328981379833603,6.467904687522856,91.466345
2025-09-26,USDC,3.873943643110106,5.514652604625405,77.346538
2025-10-03,USDC,3.6408989816421893,5.346207671307466,74.858777
2025-10-10,USDC,4.157531885542376,5.7129465231711425,80.24309
2025-10-17,USDC,3.56445775201101,5.289798117714795,73.944917
2025-10-24,USDC,3.5936511984545874,5.103044418047344,77.392731
2025-10-31,USDC,3.596513172470992,5.105075851525987,77.424458
2025-11-07,USDC,5.799950179508448,6.947560727398075,92.676124
2025-11-14,USDC,4.135161475522212,5.47403649836702,83.301695
2025-11-21,USDC,3.6045477238335337,5.11077556345091,77.40622900000001
2025-11-28,USDC,3.220817122768116,4.625409787696436,76.283224
2025-12-05,USDC,3.3282800658536913,4.701941061704903,77.556629
2025-12-12,USDC,3.53288939727998,4.8443140219708,80.072504
2025-12-19,USDC,3.29899737695553,4.681210751248777,77.196545
2025-12-26,USDC,3.1273375126804317,4.557792923630003,74.967473
2026-01-02,USDC,3.6981398698913,4.95631506498566,82.06500199999999
2026-01-09,USDC,3.464403157244858,4.573883881051171,83.377881
2026-01-16,USDC,3.373741229746055,4.513638846163516,82.178794
2026-01-23,USDC,3.9008120630221472,4.8534266924404434,88.882689
2026-01-30,USDC,4.239071499981286,5.114932689817879,91.871878
2026-02-06,USDC,2.90484213835624,4.188263037829365,75.446268
2026-02-13,USDC,2.4854147718561634,3.874112405377466,69.035565
2026-02-20,USDC,2.3744826296744708,3.7866683648173387,67.25999900000001
2026-02-27,USDC,2.08421004699344,3.547672771766764,62.378791
2026-03-06,USDC,2.0649452806149937,3.5312394790627875,61.936139999999995
2026-03-13,USDC,1.9420297121570076,3.062992308051908,67.884663
2026-03-20,USDC,2.199092224406546,3.2594163922252775,72.752446
2026-03-27,USDC,2.275270029834254,3.315389990725743,74.152509
2026-04-03,USDC,2.6861116164971506,3.6023024404521347,81.489397
2026-04-10,USDC,2.546429200403185,3.507362305224826,79.00932499999999
2026-04-17,USDC,2.4769427313595087,3.45917720199459,77.867419
2026-04-24,USDC,7.0301164666026885,8.191875975203446,95.76722600000001
